Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,COV,SUM
Eswatini,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,,,6.0,3.0,25.0,595.0,174.0,154.0,230.0,156.0,38.0,378.0,,,2.3355583437696823,1766.3355583437697
Nicaragua,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,6.0,8.0,5.0,5.0,8.0,10.0,9.0,5.0,10.0,14.0,10.0,8.0,18.0,7.0,21.0,11.0,15.0,17.0,94.0,44.0,119.0,137.0,194.0,213.0,271.0,79.0,362.0,1.892583903451235,1719.8925839034514
France,,4.0,4.0,,,10.0,,9.0,14.0,8.0,8.0,8.0,16.0,,26.0,26.0,17.0,,26.0,,,19.0,39.0,24.0,40.0,61.0,55.0,43.0,33.0,63.0,72.0,106.0,88.0,124.0,114.0,120.0,142.0,158.0,208.0,0.9771264072552093,1685.9771264072551
Saudi Arabia,14.0,,3.0,1.0,13.0,27.0,21.0,26.0,10.0,15.0,17.0,27.0,26.0,32.0,48.0,43.0,39.0,35.0,,19.0,21.0,44.0,40.0,39.0,49.0,55.0,30.0,28.0,33.0,42.0,62.0,54.0,54.0,80.0,79.0,158.0,138.0,120.0,124.0,0.8199508326254933,1666.8199508326256
United States of America (the),0.0,33.0,34.0,30.0,25.0,26.0,37.0,37.0,26.0,18.0,19.0,28.0,41.0,27.0,34.0,20.0,25.0,38.0,35.0,32.0,34.0,42.0,,34.0,51.0,48.0,45.0,57.0,64.0,53.0,53.0,48.0,64.0,83.0,74.0,91.0,88.0,72.0,95.0,0.5042914037805503,1661.5042914037806
Spain,3.0,3.0,10.0,3.0,,13.0,12.0,9.0,9.0,7.0,15.0,11.0,18.0,18.0,16.0,24.0,20.0,,27.0,,,45.0,45.0,39.0,36.0,49.0,57.0,54.0,54.0,56.0,49.0,65.0,69.0,74.0,89.0,91.0,47.0,,500.0,1.7397787941154486,1638.7397787941154
Gambia,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,3.0,0.0,2.0,1.0,,,,,,,,,,,,,,889.0,,,,115.0,567.0,3.096587659637733,1598.0965876596379
Poland,8.0,11.0,12.0,,,14.0,19.0,,16.0,19.0,,19.0,22.0,15.0,25.0,30.0,20.0,21.0,14.0,22.0,,37.0,46.0,44.0,54.0,51.0,52.0,58.0,65.0,59.0,67.0,71.0,76.0,86.0,87.0,116.0,122.0,91.0,89.0,0.6979068127392473,1558.6979068127393
Bolivia (Plurinational State of),0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,13.0,9.0,10.0,15.0,29.0,16.0,29.0,3.0,8.0,2.0,9.0,18.0,22.0,28.0,21.0,21.0,42.0,53.0,46.0,116.0,118.0,104.0,69.0,57.0,43.0,91.0,91.0,144.0,153.0,1.2067861820173278,1396.2067861820174
Malaysia,57.0,41.0,23.0,20.0,22.0,32.0,34.0,11.0,28.0,19.0,29.0,36.0,28.0,,33.0,18.0,6.0,27.0,40.0,26.0,19.0,11.0,,12.0,17.0,45.0,42.0,31.0,30.0,59.0,52.0,86.0,51.0,49.0,64.0,36.0,47.0,38.0,60.0,0.49978679541376414,1279.499786795414
Serbia,0.0,2.0,4.0,4.0,0.0,2.0,3.0,6.0,2.0,7.0,5.0,11.0,7.0,15.0,13.0,8.0,11.0,14.0,24.0,34.0,,21.0,31.0,23.0,28.0,25.0,22.0,34.0,57.0,58.0,71.0,68.0,76.0,74.0,93.0,101.0,113.0,112.0,99.0,1.052195284917327,1279.0521952849174
Zimbabwe,0.0,3.0,0.0,7.0,0.0,4.0,6.0,7.0,1.0,4.0,1.0,5.0,26.0,9.0,95.0,4.0,59.0,21.0,28.0,43.0,25.0,68.0,48.0,,,,,29.0,,,,,,,,90.0,428.0,118.0,139.0,1.8623894911857235,1269.8623894911857
Guatemala,0.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,2.0,3.0,8.0,6.0,3.0,5.0,3.0,7.0,11.0,2.0,6.0,8.0,12.0,9.0,18.0,19.0,32.0,15.0,60.0,103.0,110.0,143.0,64.0,101.0,113.0,87.0,85.0,80.0,60.0,1.3547976801608277,1191.3547976801608
Rwanda,2.0,,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,12.0,13.0,93.0,18.0,27.0,10.0,24.0,,,1.0,,,,,37.0,18.0,40.0,100.0,88.0,82.0,70.0,97.0,85.0,99.0,97.0,103.0,1.1403886532518395,1129.1403886532519
